customer_tweet_id,customer_text,apple_reply_id,apple_reply
2143238,"@AppleSupport I’m waiting for a new software to my iPhone, this iOS have many troubles ! Please HELP ! I can’t use my cellphone 😖",2143237,@630125 Please send us a DM with more details as to what your issue is exactly. https://t.co/GDrqU22YpT
825549,@AppleSupport guys - this is stuck here. #iOS11 https://t.co/IUc82uWbMu,825547,"@244912 Thanks for reaching out. If you play a new song from the Music app, are you able to control it from the Lock screen?"
2298566,@AppleSupport I gotta 6s plus I'm tryn to get iOS 11,2298574,"@667209 Got it, thanks. Are you getting an error when you attempt to update or not seeing the update at all?"
633783,@115858 your new update killed my screen on my iPhone x litterally half of the screen has block dots and it's over heating trying to run the latest update you owe me a new phone I'm switching to Samsung!!!,633780,@270230 That should not be happening. We'd be happy to help. Would you tell us more about what you're experiencing in DM? https://t.co/GDrqU22YpT
1241482,@115858 after updating my phone to IOS 11 it magically turned into a pice of cr*p. Plz fix or I might as well use a rotary phone / Samsung,1241481,@411212 We don't want you to be without a working iPhone. Send us a DM and we'll work on this together. https://t.co/GDrqU22YpT
2177208,"@AppleSupport I just installed mac high sierra, yet I'm still having issues using facetime. I'm getting a verification error. Any options I should explore?",2177207,@473513 Thanks for reaching out. Let's start by trying the troubleshooting steps here:  https://t.co/9TOn04wzxN Let us know if you're still unable to activate FaceTime after.
2558743,Totally fed up of my ipod touch 4 constantly crashing @AppleSupport @115858 Sadly can't afford an upgrade. 😭😭,2558742,@594983 Send us a DM. Let us know the country you're in. We'll do our best to help. https://t.co/GDrqU22YpT
1865522,@AppleSupport help I'm locked out of my phone and your support page only lists numbers that I can't call because I'm locked out of my phone.,1865521,"@557344 We're here to help. Let us know via DM what you currently see on your iPhone's screen, then we can advise you from there. https://t.co/GDrqU22YpT"
810861,"@AppleSupport I had update to ios 11.1, then I have a big problem The Battery Drawning. How to fix this problem?
Help me please ...!",810860,@313204 We're here for you! Send us a DM &amp; we'll continue there. https://t.co/GDrqU22YpT
1232916,@AppleSupport iOS 11 on both,1232921,@409165 Is it showing iOS 11 or iOS 11.0.3 on the iPhone you're attempting to restore? Let us know in a DM and we'll continue. https://t.co/GDrqU22YpT
950955,Why won’t my phone update to the new iOS ????? @AppleSupport https://t.co/wMXcqZadpe,950954,@345570 We've received your DM. Please look for our reply there soon. https://t.co/GDrqU22YpT
2345912,@AppleSupport That might have fixed it! Testing... I... I... yay!!! Thanks!,2345914,@678344 Awesome! Be sure to reach out if you need us in the future.
2732865,is there a way to delete your entire music library because if so i'm about to be PISSED @AppleSupport https://t.co/fnrLJGNhKS,2732863,"@643598 We'd like to help you find your music! Are you an Apple Music member? Or, do you sync your music over from iTunes?"
1684491,@AppleSupport I lost my photos of last 8 months because my iphone told me that I entered wrong passcode. The same code worked 10 mins earlie,1684490,@511908 DM us using the link below. We'll work together from there. https://t.co/GDrqU22YpT
2779345,@AppleSupport  https://t.co/xOpJbZ3L3l,2779347,@776317 Thank you. Please DM us via the following link with the current software version you are running on your device. https://t.co/GDrqU22YpT
2618359,@AppleSupport Thank you. I will find out on Monday and I will also keep you posted regards the result. Thank you.,2618360,@739955 Great. Keep us posted for sure.
2795435,@AppleSupport Why does the Health app on iOS 11 count steps while I am on a bicycle ride with my Apple Watch recording that ride via the Activity app? Shouldn’t the Activity and Health app talk to each other so that the Health app does not count every bump on the road as a step?,2795434,"@780057 We're happy to look into this with you. To get started, let us know in DM which iOS device you're using and which version of iOS 11 you've got installed. https://t.co/GDrqU2kzhr"
2025787,Aye this little ? mark scheme to make me get the iPhone X @115858.....is absolutely working cut it out:(,2025786,@599076 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9 https://t.co/GDrqU22YpT
642035,"@AppleSupport ‘If you're using a headset, and it unexpectedly activates Siri or Voice Control, make sure that your headset is fully inserted into the device.’ 

Seems to happen most when headphones were in but no moisture or bad jack connection. Any suggestions?",642034,@272370 Sure! Do you have access to another headset we can test with? This will help us isolate the issue to the iPhone or the headset.
87109,@AppleSupport Last night two iPhones in the family started to restart every minute. iPhone 6s and 6s plus. What is it? Why two at the same time? IPhone 6 isn’t impacted.,542382,"@245882 We want to help. If your device with iOS 11 unexpectedly restarts repeatedly on or after December 2, 2017, this article will walk you through a solution:
https://t.co/Wc5MHFZb0p

Let us know if that helps."
2360306,@115858 when y’all gone fix this shit,2360305,@462130 We'd love to help. Are you still having an issue with being able to see emojis that are being sent from other people?
1092523,@AppleSupport Can I revert back to my previous software as updating to 11.0.3 has halved my battery life and apps keep freezing-iPhone 7 😡,1092522,"@377814 We'd be happy to look into this issue with you. Send us a DM, and we'll continue from there. https://t.co/GDrqU2kzhr"
2093783,@AppleSupport yea why am I️ paying 67989 for a phone that GLITCHES WHEN I️ USE THE I️ AND WHY HAVENT YOU FIXED IT YET?!,2093782,@618654 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
1646249,@502972 @115858 I updated and it still does it idk,1646666,@503127 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help.
2917281,@AppleSupport @115858 Are your phones not working? I just had oral surgery and found HUNDREDS of dollars of charges that are keeping me from getting my medications and your phones just ring and ring and ring and ring after I go through the voice prompts.,2917279,@807473 We'd love to assist you. Are the charges appearing on your card as iTunes charges or a different type of charge?
2297812,"my messages app keeps crashing, wtf @115858",2297811,"@667030 Thank you for reaching out to us. We're here to help. To start, what device model and software version are you using?"
593501,@AppleSupport  no one seems to know what’s going on my lost order #customerservicefail #help,593499,"@260525 We'd be happy to help out however we can. Have you spoken to our Sales Support team yet? If not, to whom have you spoken so far?"
2095393,Loyal to @115858 since 1995 and can’t get my new iPhone sorted by @AppleSupport Come on guys! What is going on!,2095392,@619039 We are here to help whenever possible. DM the specific issue you are seeing with your iPhone to get started. https://t.co/GDrqU22YpT
2015273,@115858 get your shit together. This A and I️ mixup is worse than your new emoji choices. And we still don’t have the option for italic font,2015272,@595919 We're happy to address your concerns. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT
908496,Not sure if i mentioned it or not but this @115858 update sucks big time! My phone is shit now. That is all.,908495,@335764 We're happy to help. Let's take a look at this further for you. Reach out to us in DM. https://t.co/GDrqU22YpT
2305164,@AppleSupport where can I report some bugs?,2305163,"@668814 Thanks for reaching out to us, we are here for you. You can leave feedback on this page: https://t.co/eTPVYVFyd8"
1902234,"Dear @115858, your new #IOS1103 is giving me trouble to download apps. Help me? Thanks #iphoneupdate",1902233,@566903 We'd love to help. Can you tell us what is happening specifically when you try to download apps? DM the response below. https://t.co/GDrqU22YpT
1780467,@AppleSupport hi if i have a new 5k imac with a kaby lake processor and high sierra can i play netflix/youtube/amazon in 4k please?,1780466,@534925 Great Question! We recommend checking out this article here: https://t.co/SFdFHkEs3N DM us if you have any questions. https://t.co/GDrqU22YpT
1592363,"@115858 dear Apple...

THE MOTHERFUCKING GLITCH RUINED THE CAPTURE FOR THE EXCELLENCE OF PICTURE THAT THIS IS. FIX THIS!

Xoxo, everyone! https://t.co/ce0qms1yh4",1592361,@489463 We want you to get the message across like you intend to. Check out this article for help: https://t.co/xU1AGHStV6
1028524,¿Anybody else having battery leaking problems with iOS 11.0.3? Drains like crazy #ios1103 @AppleSupport,1028523,@363353 We want to help! What model of iOS device are you using? Do you have the most recent version of iOS 11.0.3 downloaded? https://t.co/GDrqU22YpT
1425161,@AppleSupport Music problem hasn’t been fixed. What do you suggest?,1425162,@451103 Let's meet in DM and we'll continue to look into this. https://t.co/GDrqU22YpT
2728235,I m using iphone 6 and I updated to ios 11 month ago but my wifi get turned on automatically plz tell me what to do @AppleSupport @124871 @2310 @115858 #wifiproblems #iphone6,2728234,"@764987 We're here to help. With iOS 11, you can turn off Wi-Fi and Bluetooth in your Control Center, however it just disconnects you from the network that you're currently connected to. To disable Wi-Fi you still have to do that in your Settings: https://t.co/G7BHuQnDS6"
2295841,@AppleSupport It didn’t.,2295840,@666607 How are these blocked contacts reaching out to you? Are you getting calls and messages from these contacts? What version of iOS are you running? Is this happening with all blocked contacts? Let us know and we'll continue support.
2422408,"@AppleSupport IOS 11.1.1, you guys really screwed the pooch with this one. Screwed with everyone’s texting, now phone calls &amp; voicemail issues. I wouldn’t wipe an Androids ass with this update. You had one job, for a phone to receive phone calls &amp; voicemails. #Fail #iPhone6sSucks",2422407,@695759 We want to help with the issues you're experiencing. Send us a DM and we'll work with you from there. https://t.co/GDrqU22YpT
2729182,@115858 my alarms aren’t working and it’s a nightmare come true,2729180,"@765197 It's important that the alarms are working properly. Let's look into what's going on. First, can you tell us which device you're experiencing this on and the software version currently installed?"
2686078,WTF @AppleSupport https://t.co/ClODMpsKLq,2686077,@755368 Thanks for reaching out. We see your DM and we'll continue there.
1634053,"@AppleSupport why can I️ not type the letter eye. If “eye” do, it comes up as a box and a exclamation mark. See I️",1634052,@499896 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
1798948,"@115858 @11993 Constant freezing, battery drain, multiple daily resets, buttons that don’t work, menus that don’t draw correctly. #ios11problems",1798947,@540539 We'd be delighted to work with you on the issues you're seeing. Meet up with us in DM to get started. https://t.co/GDrqU22YpT
741670,@AppleSupport 2/2 and it takes 5 seconds for it to come back up and I see the following screen during this period. I expected iOS 11.0.1 to fix it no. https://t.co/3OKx2kYgvU,741667,"@297378 That shouldn't be happening. Is it unresponsive, slow to respond, or both? Backup your iPhone &amp; update to iOS 11.0.2."
1643949,"@172300 @AppleSupport You have to go to settings-general-keyboard-text replacement- select the +, add the phrase “i” and make the shortcut “I”",1643948,@502416 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help.
92828,"@AppleSupport Help me!! My iPhone X, it’s possible? Only one day of use! https://t.co/dwqTosKQDW",488049,@231162 We'd like to see what we can do to assist. DM us and we'll see if we can't sort this out for you. https://t.co/GDrqU22YpT
2255361,@AppleSupport Current version is 11.1,2255360,"@299048 Thanks for clarifying that! We understand what you mean. Recently we released a software update. Please back up, update, and test to see how your iPhone is behaving. You can DM us the result. Here's how to back up: https://t.co/tHicJHB57O https://t.co/GDrqU22YpT"
740462,"@AppleSupport I’ve been up 30 mins, screen v.low brightness. Charge from 100% to 79% already. What a joke.",740461,@244083 Let's figure this out. Which device are you experiencing it on? Reply in DM to get started. https://t.co/GDrqU22YpT
2688191,@AppleSupport it doesn't matter because I don't have enough space to update my phone.,2688193,"@755857 OK, we're here for you if you change your mind. Feel free to DM us anytime. https://t.co/GDrqU22YpT"
1502948,@AppleSupport Why isn’t my App Store working ?,1502947,@468830 We've received your DM and are happy to continue working with you there.
1734446,the fucking glitch is getting on my damn nerves @115858,1734445,@523768 We'd like to see how we can help. Describe for us what's happening in DM and we'll get started: https://t.co/GDrqU22YpT
512559,"@AppleSupport Yes, I do. The fun gets hot. There are no software updates available. It's an iPhone 7 128GB model.",512562,"@237889 By crashing, do you mean that it's unexpectedly restarting or shutting down? Let us know in DM and we'll go from there. https://t.co/GDrqU22YpT"
2975704,"@AppleSupport I can’t find a way to merge two different moments in Photos for Mac. Possible?

It’d be great for events that split before/after midnight but go together.",2975703,@545253 We'd like to help with this. Our Photos experts are here for you:  https://t.co/IBIY3vMgPj
1370252,@115858 please fix your basic app performance. the visual voicemail hangs on every letter i type... UGH!!!,1370251,@438954 We'd like to know more about what is happening. Are you seeing this behavior in the Voicemail tab of your Phone app? https://t.co/GDrqU22YpT
668786,"@AppleSupport if I bring in my MacBook Air into a store, will they unscrew the back plate for me/ would I be charged",668785,@279477 That would be a better question for the store you want to visit. Do you know the closest Apple Store to you?
2622766,"@115858 FYI, here’s a lock screen notification formatting bug I’m seeing quite a bit in iOS 11 (I’m on the latest update, 11.1.1) https://t.co/WbGe0oT43j",2622765,@337185 Thank you for reaching out to us about your notifications. Let’s meet in DM to look into this a bit more. DM us and let us know which iPhone you’re using please. https://t.co/GDrqU22YpT
1201323,@AppleSupport Standard apps beeps and drop down alerts if I have email open- all other alerts come back on even if I'm in do not disturb mode,1201325,@331210 OK. Which iOS version is running on your iPhone? Let's take this conversation to DM: https://t.co/GDrqU22YpT
1792594,I love how @115858 will make your volume not work along with a bunch of other things just so you update your shit like wtf it’s my phone,1792593,"@173454 Hi there, we'd like to learn more about the issue you're experiencing. Please DM us and we'll get started. https://t.co/GDrqU22YpT"
426710,@AppleSupport iPhone 6s,426708,"@216481 Have you tried powering off and restarting your iPhone? If not, please follow the steps here: https://t.co/n9BF3L9h6y"
550747,@AppleSupport Explain this on my iPhone X replacement? Screen burn in? https://t.co/0dTaNyaI3s,550746,@248303 We'd like to look into this with you. DM us and we'll continue with you there. https://t.co/GDrqU22YpT
1852843,@AppleSupport Crickets.......,1852842,@554475 Thanks for confirming. We'd like some additional details to help out with your battery. Send us a DM and we'll continue. https://t.co/GDrqU22YpT
2583070,"@AppleSupport Most of the time our calls just don’t connect and sometimes, when it does, it’s only for a short period of time before it just hangs up in the middle of our conversation",2583072,"@732010 Do you experience this behavior while connected to cellular data, Wi-Fi, or both? Click here to let us know in DM: https://t.co/GDrqU22YpT"
1488890,@115858 all apps are closed and the phone is still pulling battery like there is no tomorrow. What is wrong with iOS 11?,1488889,@201442 We'd like to look into this with you. Reach out via DM using the link below. https://t.co/GDrqU22YpT
417295,iOS 11 is a complete disaster. Any plan to make it better? Specially for battery life? @115858 @AppleSupport,417294,@214566  Let's have a look at this together. Please DM us.
1336358,Is anyone else having battery and speed issues with their “old” iPhone? I’m getting annoyed! #iPhone #Help @AppleSupport,1336357,@161424 We'd be happy to help out. Go ahead and send us a DM to continue. https://t.co/GDrqU22YpT
2567038,@AppleSupport Update ios 11.1.1 System failure and set the screen always Please solve the problem quickly,2567037,@728178 We’d love to help. To start please send us a DM with more details on the behavior you’re experiencing. https://t.co/GDrqU22YpT
1297977,@115858 my iPhone 6s shuts off when charging in the middle of the night on 11.0.3. What’s up with that?,1297976,@423342 That’s not what we’d expect to hear. Can you confirm what charger you are using via DM? https://t.co/GDrqU22YpT
1891022,"The Apple update has many cool features. It has my phone freezing, shutting off, not staying connected to WiFi, and more. Great job, @115858!",1891021,"@563919 Let's look into this together. To get started, send us a DM by clicking on the link below. We'll go from there. https://t.co/GDrqU22YpT"
1242835,@AppleSupport It’s all on the Apple Support thread in the first tweet I sent over.,1242834,@411556 Thanks for clarifying. Please meet us in DM so we may discuss this further. https://t.co/GDrqU22YpT
2277705,@662349 @115858 I hear that!!!!! Nothing has been right on mine since the iOS 11 updates😡,2304544,@668652 Thanks for reaching out. We've recieved your DM and will respond there shortly. https://t.co/GDrqU22YpT
1621208,@AppleSupport Taking portrait mode photos keeps crashing and restarting my iPhone X. Other modes are fine. Already on iOS 11.1. Help!,1621207,"@496798 We'd be happy to look into this with you. Send us a DM, and we'll get started. https://t.co/GDrqU22YpT"
685592,@115858 i turned off the Bluetooth but the pencil didn't disconnect by itself as always. Is this the new feature of ios 11 too? Because it waste pencil battery a lot,2707662,@760384 Hey there! You can read about accessories paired via Bluetooth in iOS 11 here: https://t.co/G7BHuQnDS6
1886879,IOS 11 has fucked up my phone that’s not even a year old!!! Thanks so much @115858 @AppleSupport !!!🙃🙃,1886878,"@562775 Rest assured, it's certainly not what we want you to experience, so we're committed to helping. Please DM us all about it. https://t.co/GDrqU22YpT"
1178386,@AppleSupport I pulled these out of my phone and the lightning conector stayed in my phone.. I've had these for less than 1 month... https://t.co/NA9gvD0RpA,1178385,@397144 We'd be happy to look into available options with you. DM us your iPhone model to get started. https://t.co/GDrqU22YpT
2578611,@115858 please fix the I.T issue. I’m tired of having to type “it” FIVE TIMES  to make it say  it!,2578610,"@678071 We absolutely want to help with this. What device are you using, and what OS version is installed? Let us know in DM. We’re here for you. https://t.co/GDrqU22YpT"
661524,@AppleSupport You can't just tell me what to do since it's probably a software issue? The closest place is 2 hours away and they'll probably want 4 times what I paid for the buttons.,661525,"@277622 DM us, and we can give you some other support options. https://t.co/GDrqU22YpT"
1445595,@AppleSupport iOS 11.1,1445597,@455454 Thanks for that information. We'd like to look into this with you further. DM us using the link below to get started. https://t.co/GDrqU22YpT
2405046,Tried update to #iOS1111 - result below. Got loop of not updating and can’t restore or reset to factory settings. @AppleSupport Help please! https://t.co/HXNWuosU36,2405045,@691767 We've got some steps for you to get this update issue solved. Let's try the step here: https://t.co/iYLZzFD8qZ Let us know in DM if those don't help. https://t.co/GDrqU22YpT
1226604,@115858 @AppleSupport my dock disappeared 👀 https://t.co/FfAEmJeLYd,1226603,@407762 Which device and iOS version are you using? Have you tried restarting? We want to see how we can help with this.
2512281,"@115858 why is that every time I update my phone, my phone gets more shit?🤔",2512280,@715997 We want to help. What issues are you experiencing with your iPhone?
2013696,Soo @AppleSupport wtf is up with the weird ass autocorrect with this new update😑😑😑 shit annoying af,2013695,@595436 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT
1079177,@115858 my music app won’t even open because of this update. I’m furious FIX THIS NOW!!!! I don’t pay for Apple Music for it to not work,1079175,@374565 Hi there. We'd be happy to help get your Music playing again. What's happening when you tap your Music app to open it?
292907,@115858 um yeah I'd just like to know why my phone has been screwing up so bad...it started when the new iPhones that I can't afford came out,292906,@185755 Can you tell us a bit about the trouble you're running into? We're happy to help get your iPhone working like it should be!
1735099,@AppleSupport Need To Fix This Technical “I” Problem Stuff Before I️ switch Back Over To @125607,1735098,@523952 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
1766671,"Dear @115858,
Please fix the “I️” question mark glitch. I’m too OCD and don’t need this stress. 
Sincerely, 
Everyone who has an iPhone",1766670,@531264 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
2799413,@AppleSupport Okay now the screen is just flashing the battery icon,2799414,@781036 Thank you. Please look for our response to your DM shortly.
1107350,@AppleSupport iOS 11.03 on a 6splus. When I updated my battery life went down by 50%,1107352,@167225 Let's work together on figuring out what's happening. Please reach out to us in DM and we can get started. https://t.co/GDrqU22YpT
1533744,Hey @115858 I️ was wondering if I’m going to speak in hieroglyphics for the rest of my life or are you fixing this problem ????,1533743,@475651 Let's work on that together. Reach out to us in a DM to begin. https://t.co/GDrqU22YpT
889072,"@AppleSupport There is a delayed touch response switching between apps and iPhone screens, and typing using the keyboard and also voice recognition. Also I have apps freeze now, and they didn’t used to before I upgraded.",889071,@331076 We'd be happy to look into this with you further. DM us using the link below and we'll go from there. https://t.co/GDrqU22YpT
1589897,@488856 @115858 An employee got in my face about picking up an order that was ready. There was a backend error and he was so unnecessarily rude about it.,1589896,@488855 We want to make sure this gets addressed. Can you DM us and let us know more about what happened? https://t.co/GDrqU22YpT
909075,@AppleSupport Please fix Do Not Disturb on iOS11. Still getting calls when it’s turned on and “allow calls from no one”,909073,@335926 Let’s see what might be causing this. DM us and we'll work from there: https://t.co/GDrqU22YpT
1760479,Why is the letter I️ not working. Messed up my tweet @115858 https://t.co/4ewUIeHpwc,1760478,@529859 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
2054383,@AppleSupport @115858 And it is getting really annoying,2054382,@607588 It's nice to hear from you. We want to help. Please send us a DM with your iOS version from Settings &gt; General &gt; About. https://t.co/GDrqU22YpT
2913296,"Dear @115858 @AppleSupport,

Where is the ""Siri &amp; Search"" menu that used to sit under the ""Sounds &amp; Haptics"" menu in ""Settings"" on iOS 11.1.2? Buggy?",2913295,"@806473 We're here for you! Send us a DM, and we'll take a closer look at your Settings together there. https://t.co/GDrqU22YpT"
1410768,@115858 can you explain to me why these boxes pop up when I️ type “I️” and can y’all fix it?? Can’t form too many sentences without it lol,1410767,@222734 Let's look into this issue for you. Send us a DM with your current iOS version to get started. https://t.co/GDrqU22YpT
2294436,"Bonjour @AppleSupport , mon iPhone refuse complètement de se connecter à iCloud depuis cet après midi https://t.co/y3tPAFmFKM",2294434,@666250 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj
2893421,"After continuous #update releases for #iphone8 #iphoneX, my #iPhone6 has been behaving like #dumb #phone. Hanging, slowness &amp; bad performance issues I’m facing now..@115858 @AppleSupport @2310 @116333 You should provide free replacement of iPhone before launching the update",2893420,@801944 Thanks for reaching out to us regarding your iPhone. We certainly want to help to get this resolved. Reach out to us in DM and let us know which iOS version you're running and what country you're located in. We'll be happy to help get this resolved. https://t.co/GDrqU22YpT
1492611,@AppleSupport I updated pages on my iPhone and now it's freezing when I try to open a new document,1492610,"@466619 Let's get you connected to our Pages team. Please use this link to get in contact with them: https://t.co/IBIY3vMgPj
Select Apps &amp; Software &gt; iOS apps"
2353592,"Why must I pay R200 for software update at @19084 @115858 ☹️🤔
#iphonesouthafrica
#istoresouthafrica",2353591,@680079 Thanks for reaching out to us. Send us a DM and let us know a little more about what's going on. https://t.co/GDrqU22YpT
1716661,"Yo @AppleSupport can you make this shit stop, please. https://t.co/s9ZyLpqJg5",1716660,@519841 We know how important it is to have what you type come out correctly. Refer to these steps: https://t.co/xU1AGHStV6
1706992,"This shit is blowing mine, @AppleSupport FIX THIS . https://t.co/9myGr3yw9e",1706991,@517316 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
2062722,@123857 MBP 2016 keyboard not backlit at startup with 10.13. Never was. Any patch soon? Regards,2062721,@610039 Maybe we can assist with that. Follow the instructions here: https://t.co/TciXddvXkV and DM us if you're still having issues. https://t.co/GDrqU22YpT
287499,"Constant bug on new @115858 iOS is a lock screen that looks like the left, rather than the right. https://t.co/eKP3CYi2Jy",287497,@184516 Let us help. We want to be sure we understand what you are seeing there. What problem are you seeiing with the lock screen?
1877859,My phone is so fucking broken for no reason @115858 get your shit together :/,1877858,"@306089 We'd like to know more about what's happening. Send us a DM with the specifics, including which iOS version you're using. https://t.co/GDrqU22YpT"
2487210,"@AppleSupport I sent you a DM. Is it possible to get some help? Tried updating my computer this morning, and now it won’t start up. Help",2487209,"@710388 We have received your DM and thank you for the time required to share this information with us, we will respond in DM shortly."
2888003,@AppleSupport I had to get our IT people on it to fix it. Well they were only able to create a work around for me. But so far it has been ok.,2888005,@373660 We suggest completing the update at this time. We're here for you if you have any other questions.
2296188,"@AppleSupport No, iOS 10.3.3 was silky smooth, no bugs. iOS 11 is a buggy, performance ridden mess and people who have updated hate it. If possible, relay to @115858 or just the iOS devs that I’m gonna switch to Google if the bugs and performance issues aren’t fixed. My device is an iPhone SE.",2296189,"@666677 That's certainly not the experience we want for our iOS users to have, and we'd like to help. To continue, send us a Direct Message. https://t.co/GDrqU22YpT"
706898,"@AppleSupport  new iOS is terrible. Slows down the phone with multiple delays, keyboard delays, safari issues, volume issues - iphone6",706897,@289005 Thanks for reaching out!  We've received your DM and we'll continue with you there.
2918880,"Hi @AppleSupport, Is it normal that: When enabling “Find my Mac” on iCloud on my #Mac, the “root"" get’s enabled automatically? I never gave ""permission"" Isn’t that a HUGE* “security"" issue on MacOS High Sierra? Are you aware of it @115858? #Mac #Apple #HighSierra",2918879,@312173 We appreciate your concern. Please DM us so we can look into this with you. DM us here: https://t.co/GDrqU22YpT
2505067,"@AppleSupport Okie, thank you. Just randomly either my SIM card stops being read or I lose mobile connection",2505065,@714352 Thanks for confirming. Let's look into that further. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT
2307246,@AppleSupport  what the he’ll with this new system? I only have 16 gb and 7 are used by the system https://t.co/C2Nj75JYoE,2307245,@669323 We're happy to take a look at what's going on! Join us in DM with the exact version of iOS currently installed on your iPhone. https://t.co/GDrqU22YpT
2837135,"Amici abbiamo soluzioni applicabili a questo fango incredibile?
Chiedo anche a voi account mela:@115858 @AppleSupport @339353 @108780 https://t.co/MAeXJd8xKH",2837134,@789650 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj
1919735,estou farta desta battery drain. fix it @115858 @AppleSupport,1919734,@571537 We're happy to look into your battery concerns. DM us your model iPhone and iOS version installed to get started. https://t.co/GDrqU22YpT
1482438,@115858 how could our search algorithm be so bad.  I’m trying to use #spotlight to find the App Store https://t.co/gGQ7uMcp60,1482436,@464218 Let's look into this further. Do you have Suggestions in Search or in Look Up enabled in Settings &gt; Siri &amp; Search currently?
765635,So found out the new iPhone update now doesn’t allow me to connect my phone to the car? @115858 what are you playing at 🙄🙄🙄🙄,765634,@302981 We want you to enjoy your iPhone wherever you're going. We'll do all we can to help. How are you trying to connect to your car?
1762135,@115858 FIX I️ THIS I️ DUMB I️ SHIT I️,1762134,@530210 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
82032,Thanks @115817 for loosing my iPhone X and for @115858 for not sending me a new one,82031,@134153 We'd like to look into this with you. Let's hop in DM. Click here: https://t.co/GDrqU22YpT
