customer_tweet_id,customer_text,apple_reply_id,apple_reply,intent,should_escalate,escalation_reason,annotation_notes
2728200,"Dear @115858 please observe this screen recording. Initially my battery is showing 5% and now when I switch on my charger, it shows 5% again I disconnected and reconnected my charger it showed 13%. What is this bug of yours??  Please fix it. https://t.co/gVR0kzrfuf",2728198,@244904 Thank you for reaching out to us. We'd be happy to look into this with you. Can you tell us which iPhone and version of software you're currently using?,,,,
112830,"@AppleSupport my iCloud account was just locked down, &amp; I had to unlock it with my 2 factor code and then change my password. Was it a hacking attempt...?",112829,"@141079 Thanks for reaching out to us. We have an article that can help ensure your Apple ID is secure: https://t.co/SdkqXUvz1a

If you continue seeing any strange behavior, reach out to our Apple ID experts here: https://t.co/UJm15vmMM2",,,,
1973784,"@AppleSupport Hi, my phone has lost all email addresses in my contacts list and a whole lot of phones from my camera roll disappeared Ideas?",1973783,@584536 We'd be happy to look into this with you more in detail.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,,,,
1954149,@AppleSupport iOS 7 with 11.0.2 plays wrong custom ringtone and cannot answer phone no red or green dot,1954148,@580090 We'll be happy to look into these issues with you. Click the DM link when to get started and we'll work together there. https://t.co/GDrqU22YpT,,,,
1021147,@AppleSupport followme so i can dm u,1021149,@361647 You can reach us in DM though the link in this message. https://t.co/GDrqU22YpT,,,,
2678863,@AppleSupport ok how do I get this notification to go away it’s been there for 2 days and won’t leave me alone I’m so annoyed https://t.co/ARlprJ8ids,2678861,@753806 Thanks for reaching out. Are you able to swipe left to clear it?,,,,
665744,ALL IM TRYING TO DO IS PURCHASE A HOE ASS SONG @115858 AND YA LAME ASS SUPPORT WONT SEND ME THE FCKIN CODE FOR YA DUMB 2FACTOR AUTH SO I CAN USE MY DAMN FINGER PRINT https://t.co/3aQ4SOTvcd,665741,@278583 We'd like to help. You can receive a verification code for two-factor authentication a number of ways. This article has more info: https://t.co/gZlEJEsNrU DM us if you still have issues. https://t.co/GDrqU22YpT,,,,
365289,@AppleSupport I purchased a new MacBook Pro yesterday 10-7-17 at the Northpark location.  The left shift key does not work. can I get refund,365288,@202525 Hi! Our MacBooks come with a 14 day return policy.,,,,
375579,@115858 @AppleSupport this is whts happening with ur ios11 and abv updates blacked out screen https://t.co/arj37ZSItF,375577,"@205068 We'd love to look into this with you. When does this screen appear? Is it happening when using certain apps, or features?",,,,
55960,"Ok, I have a $4.99 student account w/Apple Music but just realized some days ago they've been charging me da 12.99 family plan @115858 fix it",55959,@128695 Thanks for reaching out. For billing issues with Apple Music reach out to our iTunes Store Support: https://t.co/SDIe7UiyJN,,,,
1936620,".@AppleSupport #bug in #mail #iOS any time I search in mail &amp; scroll, I lose the ability to exit the search &amp; return to mail. https://t.co/C08bNpnz1e",1936619,"@266117 We'd love to take a look. Please DM us which device and software you’re using. Also, how long have you been having the problem? https://t.co/GDrqU22YpT",,,,
1616957,@115858 @AppleSupport is there any chance you all will ever get these auto correct glitches under control??? Cause now instead of a problem with I there’s a problem with I.T (it autocorrects to that),1616956,@495835 This is not the experience we want you to have. Let's continue in DM. https://t.co/GDrqU22YpT,,,,
2406608,@115858 how have a been awake for an hour and my phone is down 20% battery??? When will the new update stop killin me like this???????,2406606,"@692121 Let's work together toward a solution. To start, can you tell us what iOS version you're using? If you need help to find it, check this out: https://t.co/ZTw54HL4Rm",,,,
1544099,@115858 We HATE your update!!!! My phone is a slow POS and my battery dies so fast!,1544098,@478313 Let's work on this together. Join us in DM. https://t.co/GDrqU22YpT,,,,
1269562,@AppleSupport content purchased from my iTunes account shows up in my list of songs to play. (2/2),1269564,@372961 We'd like to continue helping out. Let's meet in DM. https://t.co/GDrqU22YpT,,,,
1366386,"@applesupport 11.0.3 
Since I updated, none of my 3rd party speakers or headphones have been working properly. I cant pause or change my 🎶",1366385,@438081 We'd be happy to look into what's going on. Which device are you experiencing this on?,,,,
1598647,Fix this shit!!!!! @115858 https://t.co/13njVLf7Pb,1598646,@144680 We can help with this. Check out the steps here: https://t.co/xXaXeeSRt9 DM us any questions. https://t.co/GDrqU22YpT,,,,
245259,@AppleSupport I can no longer view in landscape. I can’t figure out how to fix that.,245261,@174228 Thanks for that specific info. Have you tried restarting your device?https://t.co/OWRDHWSt4h  Please respond in DM. https://t.co/GDrqU22YpT,,,,
1969319,There are so many glitches in this iOS 11 update its actually causing me professional issues @115858 . Hurry up and release a glitch fixer,1969317,@583424 May we take a look?  Feel free to DM us with more information about the behavior you're experiencing: https://t.co/GDrqU22YpT,,,,
2743003,"@AppleSupport iBooks, I've got a 5S, and haven't upgraded to iOS11",2743005,"@648319 For additional help with this, please contact our billing department here: https://t.co/SDIe7UiyJN",,,,
2111523,Come on @115858 you guys need to fix this “I” thing where it changes I to         “A ?” Because it’s super annoying.... &amp; if iMessage doesn’t stop kicking me out of my message half way through I️ May freak out. 🙄,2111522,@622820  Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,,,
542390,"@AppleSupport iPhone 6S &amp; iPhone 7 going to black screen with loading wheel, then to lock screen on a loop. Phone unusable. Need a fix",542389,"@245885 We'd like to help. An update has been released that addresses this issue. If you haven't already, back up your iPhone and follow the steps here: https://t.co/osZOKKTalm

DM us if you have questions. https://t.co/GDrqU22YpT",,,,
84209,"Is @115858 likely to fix this insane #batterydrain in #iOS11 anytime soon? My 7+ just dropped 5% in 1 minute 40 secs of screen on. 

This update has been an all time low for me and for #Apple its horrible",84208,"@134520 Hey, we can certainly take a look into the battery life together. DM us the country you're located in and we'll work on this from there. https://t.co/GDrqU22YpT",,,,
121554,@AppleSupport It happens with any app and all my apps are updated til now.,121555,"@143063 Got it, thanks. Did any of these issues begin before the iOS 11.1.2 update? If so, let us know when it started and the last iOS installed before updating.",,,,
1204143,@AppleSupport my iPhone is still on a call after the call has ended. #pleasefixmyiphone,1204142,@402866 Thanks for reaching out. We're happy to help! Have you restarted since you noticed this behavior?,,,,
1880762,Since @115858 decided to the update I don’t know how many times my phone has crashed .. what a load of shit! 🙄,1880761,@561311 We're here to help. Please DM us with the current iOS version you are running and we'll assist you further. https://t.co/GDrqU22YpT,,,,
1019380,@AppleSupport 7 Plus running 11,1019381,@361204 Navigate to Settings &gt; General &gt; About. What is the exact version?,,,,
807368,#iOS11 c’est tout de même la cata... @115858 qu’as-tu fais de ta stabilité et de ton expérience sans bug ????? Horripilant.,807365,@312385 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,,,,
873948,"Hey @AppleSupport, the update to the podcast app seems to have added a click or two to the process of actually playing a podcast 👎",873946,@327479 Thanks for reaching out! We'd recommend leaving feedback about it on our feedback page: https://t.co/eTPVYVFyd8,,,,
1632372,@AppleSupport I can’t update my Apple Watch series 3,1632370,@222731 We'd like to help. What happens when you attempt to update the watch? Which version of watchOS are you currently running?,,,,
242495,"@AppleSupport My iPhone is unresponsive when Im using apps like Instagram, Snapchat, podcast even playing music, the pause and play button isn’t shown.",242497,@173603 We want to get down to the bottom of this. Let us know in DM what's the exact iOS version you have from Settings &gt; General &gt; About. https://t.co/GDrqU22YpT,,,,
2398179,Really think @115858 should gives me some sort of award - I've successfully broken 3 #iPhone since April 🙋🏻back to iPhone 5 for now..woohoo!,2398178,"@690185 If you're needing help with any of your iPhone's, let us know more about what happened within DM here: https://t.co/GDrqU22YpT",,,,
149949,@115858 why does my iPhone continually freeze since the new update?,149948,@150183 We can check it out. Can you tell us in DM when you notice the freezing? https://t.co/GDrqU22YpT,,,,
2291612,@AppleSupport I have an iPad 2 on iOS 9.3.5. Does backup to iTunes still work ok? How best can I speed up the iPad? Should I wipe and recreate from backup?,2291610,@140614 We're happy to help. You should still be able to back up using iTunes. Does the iPad run slow when using specific apps? Tell us more to get a better understand of the issue.,,,,
1877760,What’s the point of upgrading to the new ios if you don’t fix the battery problem????? @115858,1877759,"@560505 We'd love to help. Send us a DM and let us know what device you're using, and a bit about the behavior you're running into. https://t.co/GDrqU22YpT",,,,
2280322,@AppleSupport I️ have but predictive text continues to replace my I with I️,2280321,"@662899 We can certainly help you. Are you experiencing this when reading and writing text, or only when reading it.",,,,
999186,@AppleSupport since updating to iOS 11.0.3 all my apps have stopped functioning properly and will barely open! I have restart 4 x day ☹️☹️☹️,999185,@356589 Let's look into this together. Send us a DM including the device you're using. We'll go from there. https://t.co/GDrqU22YpT,,,,
1647397,"@AppleSupport Received an email from __email__
Is my account #compromised  #Phishing #Appstore #Apple #AppleNews https://t.co/gb2axaTDvu",1647396,@503312 It's great that you're being cautious. This isn't a legitimate Apple email. Here's a guide with more info: https://t.co/sayPykspsk,,,,
2887410,@AppleSupport my music app keeps crashing on my iphone 6S. can i get some help with this,2887408,"@800704 Thanks for reaching out to us. We like to listen to music on our devices too, so we'd be happy to look into this with you. Can you tell us which version of software you're using and when this issue began? Also, are you an Apple Music member?",,,,
426726,"@AppleSupport when ever I get an email from this one sender, it goes to archive on the Mac mail app. How can I stop this?",426725,@216487 We're here to help. Let's take this to DM so we can better assist you. https://t.co/GDrqU22YpT,,,,
817061,"hey guys @115858 @AppleSupport, can you include gifs in iMessage in the next iOS update ?? https://t.co/ch4RjDNBtQ",817060,@314595 You can with the steps here: https://t.co/mfjFkn5Q5v,,,,
1913038,"@AppleSupport every time I log into my account. MacBook Pro touchbar 15” MacBookPro14,3. macOS Sierra 10.12.6. How Can I solve this? I did an hard reset and happened nothing... Thanks https://t.co/kYYqvJr9XE",1913035,@569840 We'd love to help out with this.  How long does that progress bar stay on your screen?  Are you able to boot into Safe Mode successfully?,,,,
2013989,@AppleSupport what is wrong with my typing. I️ can’t type the word eye. This is ridiculous.,2013988,@595519 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,,,,
2901951,Anyone figured out how to delete apps in ios 11.1.2? @AppleSupport,2901950,"@651192 We're happy to help. Have you tried the steps listed here: https://t.co/bNH7gNvF9e If you have any questions, let us know.",,,,
2373226,@AppleSupport Only happens when playing through phone speakers or Bluetooth. Happens with Apple Music app,2373227,"@684660 Does this happen on cellular connections, Wi-Fi connections, or both? If on a cellular connection, does it happen when traveling or moving or does it happen when staying in one location?",,,,
388560,"Then you will charge me 2,500 pesos for the repair. @115858 @AppleSupport",388559,@207940 We're here to help. DM us with more details about what happened when you tried to update you MacBook Air. https://t.co/GDrqU22YpT,,,,
2125153,@AppleSupport after upgrading to iOS 11.1 on my iPhone7 the cellular connection disconnects in locations where it stayed connected with pervious iOS versions. In addition it will lose cellular connection randomly even when the phone isn’t moving. This is unbelievably frustrating!,2125152,@625850 We understand how important a reliable cellular connection is and want to help. Could you meet us in DM? https://t.co/GDrqU22YpT,,,,
2583153,"@AppleSupport ever since i updated to ios 11 my apple music isnt working properly. i cant add, delete or download any songs and it freezes whenever i try to make new playlists",2583152,@172387 We want to help. Reach out via DM using the link below and let us know what version of iOS 11 you have installed. You can check by tapping Settings &gt; General &gt; About. https://t.co/GDrqU2kzhr,,,,
2831817,"@AppleSupport  Did the Santa Monica, CA Promenade store make phone calls to local customers about a breach in their iCloud accounts?  I️ received four calls today with an automated voice saying to call an 855 phone number.",2831815,@788461 Hey there. Thanks for reaching out to us. We are always happy to help. Those calls were likely phishing attempts. You can learn more here: https://t.co/LNMCdqt6fD,,,,
2261485,@AppleSupport Computer is operational at the moment and I’ve tried a different wifi network and still same result. Any other options?,2261483,@479258 Let's try connecting it to the computer and updating through iTunes. Let us know if you have any issues doing it that way.,,,,
554756,"@AppleSupport I upgraded my iPad to iOS 11.2 but @6676 continues to crash 3 seconds after opening the app, any suggestions on how to fix?",554755,@249483 We're here to help so you can enjoy your Books. DM us what iOS version you were on prior. https://t.co/GDrqU22YpT,,,,
245983,@AppleSupport Yes,245984,@174424 Great. Let's tackle this in DM. Send us one and let us know if it's lagging in certain apps or on specific screens. We'll work there. https://t.co/GDrqU22YpT,,,,
323025,@115858 @AppleSupport Siri has gotten worse not better with new update. She gets everything wrong... even setting timers! What happened?!,323023,"@192944 Siri is great to have! First, let's try working through a few steps to help out here: https://t.co/CLzRTZZPdw",,,,
851236,What’s up with this update @115858 I set the brightness to halfway and it goes full brightness wtf #killingmybattery plz fix,851234,@322214 Let's take a look. Do you have auto-brightness on? You'll see this in Settings &gt; General &gt; Accessibility &gt; Display Accommodations.,,,,
1894123,@116333 https://t.co/EnVqMTH7Hv,1894122,@564636 We'd be happy to help with this. Send us a DM and we'll get started. https://t.co/GDrqU22YpT,,,,
1999682,Yo @AppleSupport actually fix this shit your key board will not let me use the letter after H in the alphabet by itself outside of iMessage,1999681,@591266  We want you keys to work as expected. What other applications did you notice this in; did you test in Safari? Send us a DM. https://t.co/GDrqU22YpT,,,,
652787,iOS 11.0.3 sucks big fat donkey dick.  My phone won’t stop crashing.  Why do we pay the money we pay for this shit? 💆🏻‍♂️ @115858,652786,@275210 We'd like to help with your iPhone. Please reach out to us in DM. We'll gather some additional details and get started. https://t.co/GDrqU22YpT,,,,
877721,"@AppleSupport ....4 what it's worth.  11.0.3 randomly places calls, randomly opens camera &amp; freezes siri - listens but doesn't respond.",877720,@288769 We'd like to look into this with you. Reach out via DM using the link below. https://t.co/GDrqU22YpT,,,,
2689508,"@AppleSupport 11.1.1 update has made wifi nearly non-existent on my phone. Can't find networks previously found, signals weak, tells me the password is wrong (it's not), won't reconnect... I might as well not have wifi. I can't be the only one.",2689507,"@756150 We know how important connecting your Wi-Fi is and want to help. You can update to the newest version, iOS 11.1.2.  You want to make sure to back up your iPhone before updating. This article explains how: https://t.co/4f8hwT5to6",,,,
9275,@AppleSupport I updated to iOS 11.1 and the phone get really warm and the battery dropped by 10% in 10 minuets when I watched videos in YouTube. iPhone 7+,33327,@123366 That should not be happening. Let us help. Tell us more about this in DM. https://t.co/GDrqU22YpT,,,,
2293505,@AppleSupport so I have a noticeable issue with my iMac screen that apple diagnostics says does not exist.. how do I fix?,2293504,@439187 We'd be happy to look n to the service options for your device. Send us a DM to get started. https://t.co/GDrqU22YpT,,,,
301854,@AppleSupport hello I’m a U.K. citizen and since upgrading my iPhone to ios11 my phone has been crashing and I’ve had problems with my apps,301853,@188015 We're happy to look into this with you. Send us a DM. https://t.co/GDrqU22YpT,,,,
2492380,Updated my @115858 iPhone last night and noticing my battery is going down fast - a phone call of less than 5 minutes knocked off nearly 20% Is this right?,2492378,"@336147 We can help with battery life. Do you know what version of the iOS is on the device?  If not, you can check under Settings &gt; General &gt; About &gt; Version.",,,,
2028945,@AppleSupport can you please tell me why my phone has practically broken since the last update?! It’s so crap now.,2028944,@599998 We'll be happy to work through the issues you're experiencing. Send us a DM with the details to begin. https://t.co/GDrqU22YpT,,,,
145190,.@115858 I do not need you guys to make “memories” for me. How is my location showing in photos? I want all that shxt off please. Wtf,145189,@148898 Hi. You can stop sharing your location with apps by turning off your Location Services under Settings &gt; Privacy. There is not currently a setting to disable Photos creating Memories.  Feel free to submit feedback here:  https://t.co/eTPVYVFyd8,,,,
1398092,@AppleSupport switched from playing a song to the FM radio function while I was adjusting the volume. How does it get inputs that mixed up?,1398090,"@445127 Let's sort this out together. Which iPod are you currently experiencing this with? Also, which iOS version is installed?",,,,
1990474,@AppleSupport help me,1990473,@589072 We'd be happy to look into this with you more in detail.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU2kzhr,,,,
274953,"@AppleSupport Can you help me with a 10.5” iPad Pro Apple keyboard bug? Type but no output on screen. Happens about three times a day. Toggling to lock screen and back helps. Also, once a week it starts deleting text like you’re holding delete key. Would appreciate any help.",274950,@181689 We're happy to look into this with you. Let's get some basic information to proceed. Which version of iOS are you using on your iPad Pro today? When did you note this behavior beginning?,,,,
2062110,@AppleSupport whyyyyy you delete all my pics https://t.co/y0FrYGWYBN,2062109,@609857 Thanks for reaching out. Did your photos reappear once the restoration completed? Let us know via a DM. We’ll go from there. https://t.co/GDrqU22YpT,,,,
143565,Hey @115858 how is it that a charge cord I bought from you guys is hittin me with the “Not supported” message? 🤦‍♂️❗️Lmaolololol Steve Jobs I miss ya fam. Want my SideKick back tho,143564,"@148438 Thanks for reaching out, we are here to help! Let's meet in DM and we will go from there. https://t.co/GDrqU22YpT",,,,
2597958,@115858 unable to connect to some wifi on my macbook OS High Sierra v10.13.1 after last 2 updates 😓😓😢,2597957,@735540 Let's look at this together. Please DM us. https://t.co/GDrqU22YpT,,,,
505076,@AppleSupport Now when I go into Apple Music it’s prompting her to sign up for a free 3-month trial. It’s not recognizing that she is part of our Family subscription. How do I fix that?,505077,"@235792 Got it, we want to take a deeper look into this with you. DM us and we'll continue there. https://t.co/GDrqU22YpT",,,,
1505151,@AppleSupport my battery life went down 20%  in one hour after upgrading to iOS 11.1. Help please.,1505150,@469325 Good battery life is important. We're here to help. Please meet us in DM with which iOS device you are using. https://t.co/GDrqU22YpT,,,,
1740858,Y’all I’m so over this I️ situation... @115858 WHEN ARE YOU FIXING THIS?!?!,1740857,@525231 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/uQeXsrrlXJ,,,,
1773242,"@AppleSupport it’s been 2 days 🙂 it won’t restart, turn off even not connecting to iTunes 🙃 https://t.co/X27TWx8yTw",1773241,@532947 We'd love to help you sort this out! Try the steps here: https://t.co/8MvHMFZ83h DM us if you need more help. https://t.co/GDrqU22YpT,,,,
862785,@AppleSupport I want to be able to easily turn off wifi and bluetooth,862783,"@324867 We can help out. Tell us, which device are you using?",,,,
1897825,"iOS 11 sucks. Phone freezes, battery drains, bluetooth has interference and no longer connects properly to my car. Thanks @115858",1897824,@565627 We want to be sure you get the most out of your iPhone's performance. We'd like to help you. DM us and we'll go from there. https://t.co/GDrqU22YpT,,,,
559184,@AppleSupport Not paying for a closed-source OS so all my apps can crash. What’s up?,559182,@250679 Let's get this figured out. iOS updates are always free. Which apps are you experiencing this with?,,,,
1924889,@AppleSupport attempting to redeem the plotagraph+ app from the apple store app and it’s saying the code isn’t valid? https://t.co/v7ZjMD0Hbu,1924888,@572940 Our iTunes Store team can look into this issue with you. You can reach them here to get started:  https://t.co/SDIe7UiyJN,,,,
2947116,"Had my iPhone plugged in overnight and somehow, it drained the charge when it should be gaining it... @AppleSupport",2947114,@565226 Always glad to help. Where is the iPhone plugged in for charging?  Is this a wall outlet or computer USB port?,,,,
2266132,Ever since I update my phone my shit been glitching @115858 what’s going on?,2266131,@659615 Sounds like you're having some trouble with your iPhone. We can be of some help. Join us in DM with details on what you're experiencing. https://t.co/GDrqU22YpT,,,,
1171410,"@AppleSupport; it’s been 4 days since I was asked to send a DM, I did and no reply.",1171408,@341868 We've gotten your DM and will continue working with you there.,,,,
2207589,@115858 @118845 I don’t know which is at fault yet but the iPhone7 and BeatsSolo2 don’t play well together. My music is constantly interrupted by a technical fault. It’s deeply frustrating. I suspect it’s to do with earphones sharing with the charger port or a faulty wire?,2207588,@645420 We can help you get to the bottom of this.  Have you been able to test the Beats with another audio source to see if the issue persists?,,,,
2586370,@AppleSupport Every app takes about 4 attempts to open. Alarms not working correctly so I am being late for work. Phone keeps freezing completely and then crashing/restarting so I am missing important work calls.,2586372,"@644991 These are certainly all issues that we can help you with today. We can see how these issues would be impacting on your daily life, but we are here to help. Meet up with us in DM and let us know the exact iOS version under Settings &gt; General &gt; About. https://t.co/GDrqU22YpT",,,,
1424746,@AppleSupport https://t.co/u3cuyKupjG,1424745,@451004 We'd like to help. Send us a DM and tell us which country you are contacting us from. Thanks. https://t.co/GDrqU22YpT,,,,
1707635,"@AppleSupport has really pissed me off,I've been trying to update my phone for the past 45 minutes for the shit to say there was an erro",1707633,@517479 We'd like to work with you to get your iPhone updated. May we ask what type of error you're seeing?,,,,
2666280,"Accidental €32 in-app purchase by six-year old daughter on the iPhone and iTunes won't offer any way to cancel it :(

Plus, Apple chat support not working. Damn.

/cc @AppleSupport",2666278,@751176 Let’s get you partnered with our iTunes Store Support team for help with this. They can be contacted here: https://t.co/SDIe7UiyJN,,,,
2295750,@115858 please fix the fact all of my “I️” are changing to !. thanks.,2295749,"@666603 We recently released an iOS update, 11.1.1, that contains a fix for autocorrect issues. Please follow the steps here to back up, and then update: https://t.co/ahjigcvFRG",,,,
559786,@AppleSupport Why did the last update make my battery drain so fast now? Also takes forever to charge. No problems whatsoever before the last update.,559784,@250900 We released a new update today. Are you referring to iOS 11.2?,,,,
1334378,@AppleSupport is something wrong with site and/or app??  Can't order!!,1334377,"@323981 Hey, if you're still experiencing issues, reach out to our Online Sales team here:  https://t.co/8yjRd1Xo0i They can help.",,,,
2440835,"@AppleSupport iOS 11.1.1 sucks for iPhone6: battery drains, turns off on its own, apps don't open &amp; crash... Any plans to fix this mess?",2440834,@303340 We want to help.  Send us a DM letting us know which country you are located in to get started. https://t.co/GDrqU22YpT,,,,
1919723,@AppleSupport @115858,1919722,@571534 We'd like to hear more about what's going. Please DM us about the issues you're experiencing and we'll continue there. https://t.co/GDrqU22YpT,,,,
1395675,"@AppleSupport bought a new iPhone and backed it up so all contacts are in my phone, but all calls are coming through UNKNOWN #iphone8",1395673,"@444553 We're here to help! Since experiencing this issue, have you restarted your iPhone?",,,,
1235622,I’ve lost 3% battery on my #iPhone #6s while researching battery drainage after installing #ios1103 @AppleSupport,1235621,@409813 Great battery life is important; we want to help. Check out this link for some recommendations: https://t.co/bivpdfBNJ6,,,,
1639001,@AppleSupport i connect my iPhone to my car via USB but with 11.0.3 my car is now an unauthorized accessory. What the f...?,1639000,@501169 We'd like to look into this further. Send us a DM to get started. https://t.co/GDrqU22YpT,,,,
1538847,@AppleSupport Every app that I have to type also on couple games. Version 11.0.3,1538849,@477013 Gotcha. Let's start by updating to iOS 11.1 over-the-air or via iTunes. Meet us in DM if your concerns persist. https://t.co/GDrqU22YpT,,,,
1173945,@AppleSupport Followed it and “recovered” my account yet my Apple ID is still disabled. What next then?,1173947,@396120 Let's take a look at this further for you. Reach out to us in DM. https://t.co/GDrqU2kzhr,,,,
1930554,@AppleSupport what happened to App Store? Why i cannot connect to it?,1930552,@245519 We'd be happy to look into this with you.  Let us know in DM the device you're using and we'll continue from there. https://t.co/GDrqU22YpT,,,,
2213588,@115858 @AppleSupport @115858 @115948  money has been debited by itune..don’t know why??..plz..refund it immediately https://t.co/94UCptJnsI,2213587,"@646908 Let's get you pointed in the right direction. For assistance, reach out to iTunes Store support here: https://t.co/SDIe7UiyJN",,,,
902829,"@115858 @AppleSupport why is my iPhone turning on its WiFi all by itself CONSTANTLY, like every 30 mins at least, after I upgraded my iOS?",902828,@239496 Great question!  This article explains more about the changes to Bluetooth &amp; Wi-Fi in iOS 11: https://t.co/G7BHuQnDS6,,,,
1676235,@AppleSupport any idea why the letter “i” turns to “A ?” ? https://t.co/0ZuAPp0qif,1676233,"@300846 Let's try using these steps: https://t.co/xXaXeeSRt9

Let us know if that helps.",,,,
2367795,@AppleSupport Please fix the problem in the iOS 11 versions that cause phones to freeze! Having to do too many hard restarts!,2367794,@683388 We can help you get this sorted out. Can you tell us which iOS version you are currently using? DM us the response here: https://t.co/GDrqU22YpT,,,,
892833,"@AppleSupport the latest fix has STILL NOT helped!! Slow response time, iMessage lags behind in typing, and battery drain is crazy! Fix it!",892832,@332002 We're here to help. Please meet us in DM and we'll take a look at this together. https://t.co/GDrqU22YpT,,,,
